Babino Polje,20225
Blace,20357
Blato,20271
Cavtat,20210
Čara,20273
Čilipi,20213
Doli,20231
Dubravka,20216
Dubrovnik,20000
Goveđari,20226
Gruda,20215
Janjina,20246
Klek,20356
Koločep,20221
Komin (Dalma),20344
Korčula,20260
Kućište,20267
Kula Norinska,20341
Kuna,20243
Lastovo,20290
Lopud,20222
Lovište,20269
Lumbarda,20263
Maranovići,20224
Metković,20350
Mlini,20207
Mlinište,20353
Mokošica,20236
Nova Sela,20278
Opuzen,20355
Orašac,20234
Orebić,20250
Oskorušno,20242
Otrić Seoci,20342
Ploče,20340
Pločice,20218
Potomje,20244
Pridvorje,20217
Pupnat,20274
Putniković,20248
Račišće,20264
Rogotin,20343
Slano,20232
Smokvica,20272
Staševica,20345
Ston,20230
Šipanjska Luka,20223
Topolo,20205
Trpanj,20240
Trstenik,20245
Trsteno,20233
Vela Luka,20270
Vid,20352
Zaton Veliki,20235
Žrnovo,20275
Žuljana,20247