Baderna,52445
Bale (Valle),52211
Barban,52207
Boljun,52434
Brtonigla (Verteneglio),52474
Buje (Buie),52460
Buzet,52420
Cerovlje,52402
Červar Porat,52449
Fažana (Fasana),52212
Funtana (Fontane),52452
Galižana (Gallesano),52216
Gračišće,52403
Grožnjan (Grisignana),52429
Kanfanar,52352
Karojba,52423
Kaštelir (Castelliere),52464
Koromačno,52222
Krnica,52208
Kršan,52232
Labin,52220
Lanišće,52422
Livade (Levade),52427
Ližnjan (Lisignano),52204
Lupoglav,52426
Marčana,52206
Medulin,52203
Momjan (Momiano),52462
Motovun (Montana),52424
Nedešćina,52231
Nova Vas,52446
Novigrad (Cittanova),52466
Oprtalj (Portole),52428
Pazin,52000
Pićan,52332
Plomin,52234
Podpićan,52333
Poreč (Parenzo),52440
Pula (Pola),52100
Rabac,52221
Raša,52223
Roč,52425
Rovinj (Rovigno),52210
Savudrija (Salvore),52475
Sveti Lovreč,52448
Sveti Petar u šumi,52404
Svetvinčenat,52342
Šušnjevica,52233
Tar (Torre),52465
Tinjan,52444
Trget,52224
Umag (Umago),52470
Višnjan (Visignano),52463
Vižinada (Visinada),52447
Vodnjan (Dignano),52215
Vrsar (Orsera),52450
Žminj,52341